№,Hours,Minutes,Seconds,Microseconds
252,19,9,53,258040
253,19,9,53,358365
254,19,9,53,458697
255,19,9,53,559001
256,19,9,53,659308
257,19,9,53,759555
258,19,9,53,859835
259,19,9,53,960146
260,19,9,54,60421
261,19,9,54,160737
262,19,9,54,261043
263,19,9,54,361365
264,19,9,54,461687
265,19,9,54,561992
266,19,9,54,662292
267,19,9,54,762603
268,19,9,54,862923
269,19,9,54,963252
270,19,9,55,63564
271,19,9,55,163870
272,19,9,55,264230
273,19,9,55,364547
274,19,9,55,464868
275,19,9,55,565167
276,19,9,55,665469
277,19,9,55,765755
278,19,9,55,866071
279,19,9,55,966484
280,19,9,56,66807
281,19,9,56,167122
282,19,9,56,267300
283,19,9,56,367546
284,19,9,56,467915
285,19,9,56,568236
286,19,9,56,668561
287,19,9,56,768882
288,19,9,56,869182
289,19,9,56,969468
290,19,9,57,69774
291,19,9,57,170089
292,19,9,57,270413
293,19,9,57,370718
294,19,9,57,471018
295,19,9,57,571254
296,19,9,57,671476
297,19,9,57,771723
298,19,9,57,872101
299,19,9,57,972425
300,19,9,58,72732
